sentence,label
"Wiem więc, że ta kampania wywołała pewne wątpliwości i obawy ze strony wielu przywódców na całym świecie.",No
"Teraz zrównoważmy budżet i chrońmy Medicare, Medicaid, edukację i środowisko.",No
Chciałbym wspomnieć o jednej rzeczy.,No
"Muszę mu przypomnieć, że Demokraci kontrolowali Kongres przez ostatnie dwadzieścia dwa lata i napisali wszystkie ustawy podatkowe.",Yes
"Uważam, że zaryzykowanie i niepodjęcie wszelkich możliwych wysiłków w celu zapewnienia pewnej kontroli nad tą bronią byłoby wielkim błędem.",No
"Cóż, w efekcie mówi on, że będziemy mieli inflację.",No
"Jestem dumny z faktu, że przestępczość z użyciem przemocy w stanie Teksas spadła.",Yes
Składki na opiekę zdrowotną mogły wzrosnąć.,No
"Jeśli mamy 4 biliony dolarów w dół, powinniśmy mieć wszystko idealne, ale tak nie jest.",Yes
Podjąłem kilka trudnych decyzji.,No
"Przez osiem lat służyłem w Izbie Reprezentantów i zasiadałem w Komisji Wywiadu, specjalizując się w kontroli zbrojeń.",Yes
"Myślę, że zaczynam to rozumieć.",No
"Ale kiedy mówisz o przeprosinach, myślę, że tym, za co naprawdę powinieneś przeprosić i za co powinieneś przeprosić, są 33 000 e-maili, które usunąłeś i które umyłeś kwasem, a następnie dwa pudełka e-maili i innych rzeczy w zeszłym tygodniu, które zostały zabrane z biura i teraz zaginęły.",Yes
W gabinecie nie będzie 10 milionerów i 14 prawników.,No
Jego doświadczenie różni się od mojego.,No
I lepiej bądźmy bardzo ostrożni.,No
"Właśnie tego potrzebujemy więcej, Candy.",No
"A jeśli jest to gwałt, to w jaki sposób dokonać moralnej oceny?",No
Wiele szkół publicznych spełnia to wezwanie.,Yes
"Ale jeśli chodzi o politykę gospodarczą, zasadniczo to, co proponujesz, to kolejne osiem lat tego samego.",No
"Oznacza to, że 98 procent amerykańskich rodzin i 97 procent małych firm nie odczuje podwyżki podatków.",Yes
Są to więc sposoby na przywrócenie siły naszego kraju i nie wymagają one długiego doświadczenia w polityce zagranicznej.,No
"I wreszcie, Medicaid dla stanów?",No
"Co jest bardziej moralne niż pokój, a Stany Zjednoczone są dziś w pokoju?",No
"Doszli do wniosku, że mój plan objąłby wszystkich, a jego plan pozostawiłby 27 milionów w tyle do roku 2000 i że mój plan w ciągu następnych 12 lat zaoszczędziłby 2,2 biliona dolarów w publicznych i prywatnych pieniądzach, które można by ponownie zainwestować w tę gospodarkę, a przeciętna rodzina zaoszczędziłaby 1200 dolarów rocznie w ramach planu, który zaproponowałem, bez jakiejkolwiek erozji jakości opieki zdrowotnej",Yes
"To, co zrobię, to pozwolę ludziom na zakup Medicaid.",No
"Ponieważ prowadziliśmy twardą, agresywną politykę handlową i ponieważ obniżyliśmy stopy procentowe.",Yes
"Podczas drugiej debaty zaproponowałem, że skoro obie strony chcą stref przedsiębiorczości, a my nie możemy się dogadać, to wezmę kilka dni wolnego i pojadę do Waszyngtonu, trzymając się za ręce, i załatwimy to.",Yes
Teraz prawdopodobnie będziemy musieli zwiększyć to w takim samym stopniu.,No
"Ale zobowiązuję się, że w ciągu najbliższych dziesięciu dni, kiedy poprosimy Amerykanów o podjęcie jednej z najważniejszych decyzji w ich życiu, ponieważ uważam, że te wybory są jednymi z najważniejszych w historii Ameryki, zrobimy razem wszystko, co w naszej mocy, aby stymulować udział wyborców.",No
"To oni stoją przed wyzwaniami i są ludzie, którzy przewidują, że nie będzie tak samo.",No
"Naprawdę nie mogę uwierzyć, że pan Bush nadal próbuje uczynić z zaufania kwestię po ""czytaj mi z ust"" i 15 milionach nowych miejsc pracy oraz przyjęciu tego, co nazwał ekonomią voodoo, i przyjęciu programu wspierania eksportu dla rolników, któremu groził zawetowaniem, i jeżdżeniu po całym kraju i rozdawaniu pieniędzy w ramach programów, którym kiedyś się sprzeciwiał.",Yes
"Jednym z dodatkowych uprawnień, które sugerowałbym, byłoby zajęcie.",No
"Będzie to wymagało uczciwego, wspólnego poświęcenia.",No
"Aby tak się stało, musimy wzmocnić naszą gospodarkę w kraju.",No
"W rzeczywistości tak się składa, że w ramach dziwactw związanych z zarządzaniem tymi podatkami, osoby powyżej 50 000 USD nie otrzymały tak dużej procentowej obniżki podatków, jak osoby od 50 000 USD w dół.",Yes
"Mamy tego dość, panie i panowie.",No
"Cóż, pan Ford znacznie zmienia swoją poprzednią filozofię.",Yes
"Robisz wiele rzeczy, o których nikt nie wie.",No
Dlatego kilka dni temu sprowadziłem przywódców do Waszyngtonu.,No
Wzywała ona do zwiększenia produkcji energii w Stanach Zjednoczonych.,Yes
"I robię to, zarówno dla korporacji, jak i dla osób fizycznych.",No
"Jeśli zrobimy te rzeczy, zbudujemy most do XXI wieku, a najwspanialszy kraj w historii będzie jeszcze większy.",No
Byłem krytyczny wobec tej administracji i byłem krytyczny wobec prezydenta.,No
"Tak długo, jak będziemy to znosić, tak długo będziemy to otrzymywać.",No
"Nie zamierzam nosić różowych okularów, jeśli chodzi o Rosję czy pana Putina.",No
To my wypracowaliśmy porozumienie w sprawie pracy w więzieniach.,Yes
"To jest kraj, o który będę walczył.",No
"Pokaż nam, czy uczą się czytać, pisać, dodawać i odejmować, a jeśli tak, będą plany bonusowe.",No
"Oczywiście, można to zrobić z Kongresem.",No
Musimy traktować to jako przestępstwo międzynarodowe.,No
"Tak, uważam, że potrzebujemy więcej żołnierzy.",No
"I podobnie jak John McCain, nauczyłem się z doświadczenia i nie jest to dla mnie nowe stanowisko.",No
"Zasugerowałem, że prezydent powinien otrzymać inną broń do ochrony interesu narodowego w przypadku strajków w sytuacji zagrożenia narodowego, poza nakazem sądowym zawartym w ustawie Taft-Hartley.",Yes
"I wiemy, co się stało.",No
"Wiem, że koncerny naftowe bardzo chciały to zrobić, ale nie jest to dobre rozwiązanie na przyszłość.",No
"Cóż, musiałem żyć przez inne osiem lat niż te, przez które żył wiceprezydent, ponieważ ta administracja cięła i cięła i cięła i cięła programy dla dzieci, żywienia, rzeczy, które mogą pomóc tym młodym ludziom żyć lepiej.",Yes
"Powiedziałem, że nie wprowadzę obniżki podatków, która zwiększy deficyt.",No
"Twierdzę również, że wyprowadzenie nieudokumentowanych imigrantów z cienia i wprowadzenie ich do formalnej gospodarki będzie dobre, ponieważ wtedy pracodawcy nie będą mogli ich wykorzystywać i podcinać płac Amerykanów.",No
"Okolice są bezpieczniejsze, gdy rozprawiamy się z ludźmi, którzy popełniają przestępstwa z użyciem broni.",No
"Jestem twórcą miejsc pracy, a nie ich niszczycielem.",No
"Problem polega na tym, że zgodnie z planem gubernatora Busha, obniżka podatków o 1,6 biliona dolarów, głównie dla bogatych, zgodnie z jego własnymi danymi budżetowymi, proponuje on wydać więcej pieniędzy na obniżkę podatków tylko dla najbogatszego 1% niż wszystkie nowe pieniądze, które przeznacza na edukację, opiekę zdrowotną i obronę narodową razem wzięte.",Yes
"Myślę, że po pierwsze, pozwól mi powtórzyć - pozwól mi powtórzyć - pozwól mi powtórzyć to, co powiedziałem.",No
"Kiedy wyjdziesz w 2014 roku, zakładam, że będę prezydentem.",No
"To nie moje określenie, to sam sekretarz obrony prezydenta nazwał je niszczycielskimi.",Yes
"Stany Zjednoczone zjednoczyły się tak, jak nie robiły tego od wielu, wielu lat.",No
"Nasze fundusze na powrót do zdrowia wzrosły, odzyskując uzależnionych.",Yes
"Myślę, że widzieli słabość tam, gdzie spodziewali się znaleźć amerykańską siłę.",No
"To nie jest osąd, który powinien podejmować prezydent Stanów Zjednoczonych.",No
"Uwielbiam fakt, że ludzie będą słuchać faceta z kiepskim akcentem i kiepskim sposobem prezentacji mówiącego o flipchartach przez 30 minut, ponieważ chcą szczegółów.",No
"Tom, pomachaj mi, a spojrzę na ciebie.",No
Interesuje mnie praca z naszymi narodami i robię jej dużo.,No
"Platforma, do której odnosi się prezydent, w rzeczywistości wzywa do przeprowadzenia testu religijnego przy wyborze sędziów.",No
"Można powiedzieć, że czasami trzeba uderzyć w obozy bazowe, ale kiedy prezydent zobaczył sponsorowane przez państwo odciski palców Muammara Khadaffiego na ofiarach śmiertelnych w Ameryce, uderzył w Libię.",Yes
"Musimy powiedzieć, że każdy z nas musi być odpowiedzialny za to, co robi.",No
"Twoje przyszłe świadczenia zostaną zmniejszone o kwotę, która zostanie skierowana na rynek akcji.",Yes
"Będę więc prosił o wsparcie, aby wprowadzić to w życie.",No
I jesteśmy w prawdziwych tarapatach.,No
"Wierzę, że odejdzie.",No
"Trzecią rzeczą, której moim zdaniem potrzebujemy, jest więcej takich forów, co jest jednym z powodów, dla których tak mocno popieram reformę finansowania kampanii.",No
"I zdefiniował to jako kogoś, kto używa fasoli zamiast mięsa.",No
"Ale kiedy byłem w tym małym kościele po drugiej stronie rzeki od Waszyngtonu i zobaczyłem naszego wnuka ochrzczonego w naszej wierze, byłem naprawdę bardzo zadowolony, że matka nie usunęła tego dziecka i oddała je do adopcji.",No
"Jest 9 krajów, które wydają więcej niż my na edukację publiczną.",Yes
"Jak widzieliśmy dziś wieczorem, polityka zagraniczna i polityka obronna to trudne i złożone kwestie.",No
"Może uważasz, że to ma sens.",No
Wciąż zwiększamy siłę roboczą i wyposażenie.,Yes
"Niektórzy z nich byli Demokratami, a niektórzy Republikanami.",No
I to właśnie zrobili nam Republikanie.,No
Chcę rozwijać zasoby węgla w Ameryce.,No
Tak więc wszelkie przeciwne stwierdzenia są po prostu nieprawdziwe.,No
"Wiem, że nie osiągniemy naszego celu, jeśli będziemy wysyłać mieszane sygnały naszym żołnierzom, naszym przyjaciołom, obywatelom Iraku.",No
"Uważam też, że bardzo ważne jest przejście do kolejnego etapu reformy opieki społecznej.",No
Na Bliskim Wschodzie panuje totalny bałagan.,No
Zamierzamy zablokować dotacje dla Medicaid w stanach...,No
"Po pierwsze, myślę, że dobrze jest spojrzeć z perspektywy na to, gdzie naprawdę stoimy w odniesieniu do Związku Radzieckiego w tej całej kwestii wzrostu.",No
Z matematycznego punktu widzenia istnieją trzy sposoby na zmniejszenie deficytu.,No
"Mamy w Nikaragui dżentelmena, który na zlecenie CIA doradza - rzekomo w zakresie taktyki wojskowej - contras.",Yes
Ale ta administracja raz po raz gubi się w tej dziedzinie.,No
