sentence,label
"Wiem, że ta kampania spowodowała pewne pytania i zmartwienia wielu liderów na całym świecie.",No
"Teraz zrównoważyć budżet i chrońmy Medicare, Medicaid, Education i The Environment.",No
Chciałbym wspomnieć o jednej rzeczy.,No
"Muszę mu przypomnieć, że Demokraci kontrolowali Kongres przez ostatnie dwadzieścia dwa lata i napisali wszystkie rachunki podatkowe.",Yes
"I zaryzykować - teraz bądź - i nie staraj się podjąć wszelkich starań, aby zapewnić kontrolę nad tymi bronią, myślę, że byłby wielkim błędem.",No
"Cóż, to, co tam mówi, będziemy mieć inflację.",No
"Jestem dumny z faktu, że przestępstwo z użyciem przemocy jest w stanie Teksas.",Yes
"Wiesz, być może widziałeś, jak twoje składki na opiekę zdrowotną wzrosną.",No
"Jeśli mamy 4 biliony dolarów, powinniśmy mieć wszystko idealne, ale nie.",Yes
I podjąłem trudne decyzje.,No
"Służyłem przez osiem lat w Izbie Reprezentantów i zasiadałem w komitecie wywiadowczym, specjalizującym się w sprawdzaniu kontroli broni.",Yes
"Myślę - wiesz, zaczynam to rozumieć.",No
"Ale kiedy mówisz o przeprosinach, myślę, że ten, za który naprawdę powinieneś przepraszać, a rzeczą, za którą powinieneś przepraszać, to 33 000 e-maili, które usunąłeś, i że kwaśnaś kwaśna, a następnie dwa pudełka E.-Mails i inne rzeczy w zeszłym tygodniu, które zostały zabrane z biura i teraz brakują.",Yes
W gabinecie nie będzie 10 milionerów i 14 prawników.,No
Jego doświadczenie różniło się od mojego.,No
I lepiej bądźmy ostrożni.,No
"Tego potrzebujemy więcej, cukierki.",No
"A jeśli to gwałt, w jaki sposób wygłaszasz na ten temat moralne osądy?",No
I wiele szkół publicznych spełnia wezwanie.,Yes
"Ale jeśli chodzi o politykę gospodarczą, zasadniczo proponujesz, to osiem lat tego samego.",No
"A to oznacza 98 procent amerykańskich rodzin, 97 procent małych firm, nie dostrzegają podwyżki podatku.",Yes
"Są to sposoby, w jakie możemy przywrócić siłę naszego kraju i nie wymagają długiego doświadczenia w polityce zagranicznej.",No
I wreszcie Medicaid to States?,No
"Co jest bardziej moralne niż pokój, a Stany Zjednoczone są dziś w pokoju?",No
"Doszli do wniosku, że mój plan obejmie wszystkich, a jego pozostawi 27 milionów do 2000 roku i że mój plan w ciągu najbliższych 12 lat zaoszczędziłby 2,2 bln USD w publicznych i prywatnych pieniędzy na reinwestowanie w tę gospodarkę, a przeciętna rodzina zaoszczędzi 1200 USD Arok w ramach planu, który zaoferowałem bez erozji w jakości opieki zdrowotnej",Yes
"To, co zrobię, to zezwolić ludziom na zakup w Medicaid.",No
Ponieważ mieliśmy trudne agresywne polityki handlowe i ponieważ obniżyliśmy stopy procentowe.,Yes
